Taxon
Carex molestiformis
Carex mollicula
Carex muehlenbergii
Carex muehlenbergii var. enervis
Carex muehlenbergii var. muehlenbergii
Carex muhlenbergii
Carex muskingumensis
Carex neurocarpa
Carex nigromarginata
Carex normalis
Carex oklahomensis
Carex oligantha
Carex oligocarpa
Carex opaca
Carex oshimensis
Carex otaruensis
Carex oxylepis
Carex pedunculata
Carex pensylvanica
Carex planata var. planata
Carex planispicata
Carex platyphylla
Carex praegracilis
Carex prasina
Carex radiata
Carex reniformis
Carex retroflexa
Carex reznicekii
Carex rosea
Carex sartwellii
Carex schweinitzii
Carex shortiana
Carex siderosticta
Carex socialis
Carex sparganioides
Carex sprengelii
Carex squarrosa
Carex sterilis
Carex stipata
Carex straminea
Carex stricta
Carex suberecta
Carex swanii
Carex sychnocephala
Carex tenera var. echinodes
Carex tetanica
Carex texensis
Carex timida
Carex tonsa
Carex tonsa var. rugosperma
Carex torta
Carex triangularis
Carex tribuloides
Carex tribuloides var. sangamonensis
Carex trichocarpa
Carex typhina
Carex umbellata
Carex vesicaria
Carex vesicaria var. monile
Carex virescens
Carex vulpinoidea
Carex willdenowii
Carex woodii
Carex zekogensis
Carpinus caroliniana
Carum grossheimii
Carya × lecontei
Carya × nussbaumeri
Carya × schneckii
Carya aquatica
Carya cordiformis
Carya glabra
Carya illinoinensis
Carya laciniosa
Carya myristiciformis
Carya ovalis
Carya ovata
Carya pallida
Carya texana
Carya tomentosa
Caryopteris incana
Castanea dentata
Castanea ozarkensis
Castanea pumila
Castanea pumila var. ozarkensis
Castanea sativa
Castilleja coccinea
Castilleja sessiliflora
Catalpa bignonioides
Catalpa ovata
Catalpa speciosa
Caulophyllum thalictroides
Cayaponia quinqueloba
Ceanothus americanus
Ceanothus herbaceus
Celastrus scandens
Celtis bungeana
Celtis caucasica
Celtis koraiensis
Celtis laevigata
Celtis occidentalis
Celtis pumila
Celtis tenuifolia
Cenchrus longispinus
Centaurea alexandri
Centaurea atropurpurea
Centaurea helenioides
Centaurea ruthenica
Centaurea takhtajanii
Centaurea woronowii
Cephalanthera caucasica
Cephalanthera damasonium
Cephalanthera erecta var. erecta
Cephalanthera longibracteata
Cephalanthera longifolia
Cephalanthus occidentalis
Cephalaria gigantea
Cephalaria radiata
Cephalotaxus harringtonia
Cephalotaxus harringtonia var. nana
Cephalotaxus harringtonii
Cerastium arvense subsp. strictum
Cerastium brachypodum
Cerastium nutans
Cerasus japonica
Ceratophyllum demersum
Ceratophyllum echinatum
Ceratostigma griffithii
Ceratostigma willmottianum
Cercis canadensis
Cercis siliquastrum
Cerinthe glabra
Ceterach officinarum
Chaenorhinum glareosum
Chaerophyllum procumbens
Chaerophyllum tainturieri
Chaetopappa asteroides var. asteroides
Chamaecrista fasciculata
Chamaecrista nictitans
Chamaedaphne calyculata
Chamaelirium luteum
Chamaenerion angustifolium
Chamaesaracha edwardsiana
Charesia akinfievii
Chasmanthium latifolium
Chasmanthium laxum
Chasmanthium laxum subsp. laxum
Chasmanthium laxum subsp. sessiliflorum
Chasmanthium sessiliflorum
Cheilanthes alabamensis
Cheilanthes eatonii
Cheilanthes feei
Cheilanthes fendleri
Cheilanthes horridula
Cheilanthes lanosa
Cheilanthes persica
Cheilanthes tomentosa
Cheilanthes yavapensis
Chelone cuthbertii
Chelone glabra
Chelone lyonii
Chelone obliqua
Chelone obliqua var. erwiniae
Chelone obliqua var. speciosa
Chenopodium album
